word	lfpm10r	correct	n
kanalaz	-1.325	TRUE	1
karakter	1.43	TRUE	1
kencéz	-3.569	TRUE	1
keresztény	1.817	TRUE	1
kettősfém	-2.756	TRUE	1
kislány	1.415	TRUE	1
kitin	-0.946	TRUE	1
koenzim	0.003	TRUE	1
kollapszus	-1.065	TRUE	1
komoly	2.29	TRUE	1
komplex	1.745	TRUE	1
komál	-2.031	TRUE	1
kondenzcsík	-1.009	TRUE	1
kontrapunkt	-1.743	TRUE	1
konverzál	-2.967	TRUE	1
krakéler	-1.411	TRUE	1
kulcscsont	-0.536	TRUE	1
kurtít	-2.237	TRUE	1
kurzivál	-3.092	FALSE	1
kurzív	-0.736	FALSE	1
kvéker	-1.672	TRUE	1
káder	-0.593	TRUE	1
kárpit	0.194	TRUE	1
könnyelmű	0.019	TRUE	1
kötődik	1.137	TRUE	1
közhely	0.426	TRUE	1
kúpol	-1.906	TRUE	1
lakotthely	-2.472	TRUE	1
lalláz	-3.268	TRUE	1
lazúroz	-3.569	TRUE	1
lejmol	-2.031	TRUE	1
libling	-1.946	TRUE	1
luftballon	-1.821	TRUE	1
lukaszt	-2.591	TRUE	1
lágyék	-0.685	TRUE	1
látszik	2.055	TRUE	1
lélek	1.694	TRUE	1
lépték	0.16	TRUE	1
magmatit	-2.666	TRUE	1
mellényzseb	-1.973	TRUE	1
mimézis	-1.054	FALSE	1
mítosz	0.619	TRUE	1
móringol	-2.967	TRUE	1
nagybeteg	-0.276	TRUE	1
nagyszámú	0.902	TRUE	1
neoprén	-0.057	TRUE	1
nimbus	-2.756	TRUE	1
nukleon	-1.266	TRUE	1
nyersarany	-2.548	TRUE	1
nárcisz	-0.25	TRUE	1
népszerű	1.814	TRUE	1
olaj	1.54	TRUE	1
orront	-2.057	TRUE	1
orális	0.569	TRUE	1
pauzál	-3.092	TRUE	1
pereg	0.061	TRUE	1
petél	-3.092	TRUE	1
piktogram	-0.278	TRUE	1
piláf	-1.262	TRUE	1
pohár	1.388	TRUE	1
profit	0.862	TRUE	1
puritán	0.459	TRUE	1
példakép	0.329	TRUE	1
püffeszt	-3.87	TRUE	1
rakódik	0.094	TRUE	1
reagál	1.189	TRUE	1
referál	-0.432	TRUE	1
reform	0.936	TRUE	1
rejtőzik	0.612	TRUE	1
rekvizit	-1.973	TRUE	1
rotor	-0.054	TRUE	1
rámáz	-3.171	TRUE	1
régész	0.538	TRUE	1
rövid	2.339	TRUE	1
rücsök	-1.879	TRUE	1
selypít	-1.452	TRUE	1
skubizik	-3.171	TRUE	1
sporthorgász	-0.907	TRUE	1
sugár	0.422	TRUE	1
svábtök	-3.87	TRUE	1
szalicil	-0.79	TRUE	1
szegény	1.681	TRUE	1
szempont	1.61	TRUE	1
szilikát	-0.363	TRUE	1
sziszeg	-0.745	TRUE	1
szokik	-0.316	TRUE	1
század	2.036	TRUE	1
százalék	1.899	TRUE	1
színpad	1.058	TRUE	1
sárgaréz	-0.031	TRUE	1
tangózik	-1.78	TRUE	1
tarol	-0.219	TRUE	1
tartalom	1.71	TRUE	1
templomoz	-3.092	TRUE	1
tenger	1.456	TRUE	1
testnedv	-0.969	TRUE	1
transzplantál	-3.092	TRUE	1
tropikus	-0.563	TRUE	1
truccol	-2.694	FALSE	1
turné	0.819	TRUE	1
tábornagy	-0.321	TRUE	1
tököl	-1.12	TRUE	1
töredék	0.316	TRUE	1
törköly	-0.572	TRUE	1
törékeny	0.894	TRUE	1
törődik	0.7	TRUE	1
türemlik	-2.393	TRUE	1
vabank	-2.247	FALSE	1
viszkóz	-0.61	TRUE	1
viszkózus	-0.482	TRUE	1
viszonvád	-2.163	TRUE	1
változik	1.765	TRUE	1
végbél	0.305	TRUE	1
áradmány	-2.64	TRUE	1
árstop	-2.365	TRUE	1
árus	-0.422	TRUE	1
égitest	0.434	TRUE	1
ómagyar	-0.441	TRUE	1
örmény	0.795	TRUE	1
újgazdag	-0.337	TRUE	1
űrlap	1.015	TRUE	1
